code,date,open,close,high,low,volume,money,time_interval,SMA_5,SMA_15,upperband,lowerband,SMA5_volume,ATR_5,ATR_15,MACD
000001.XSHE,2020-01-02,1976.78,2002.9,2012.4,1966.1,1288880.971091917,2571196426.0,2.0,1970.6080000000002,1946.15,2015.906904829833,1876.3930951701673,779317.222974557,46.302,42.66200000000002,-28.393351822061504
000001.XSHE,2020-01-03,2011.21,2039.71,2055.14,2010.03,940145.7697417772,1914495414.0,1.0,1987.468,1958.656,2023.2357897621573,1894.0762102378426,904675.4583943173,52.47599999999998,45.03666666666666,-38.86624725942556
000001.XSHE,2020-01-06,2019.52,2026.65,2058.7,2007.65,726116.6042483904,1477930122.0,3.0,1997.916,1966.1753333333331,2034.555194974796,1897.7954716918703,874271.4044839407,51.04999999999991,44.32399999999998,-40.63517596207885
000001.XSHE,2020-01-07,2033.77,2036.14,2051.58,2012.4,613692.7888062705,1247047080.0,1.0,2011.688,1974.2486666666668,2045.2976855065203,1903.1996478268134,832433.9002713017,46.537999999999876,44.87799999999996,-41.95100204020673
000001.XSHE,2020-01-08,2018.34,1977.97,2024.27,1974.41,714104.9237349404,1423608763.0,1.0,2016.6740000000002,1975.5153333333333,2046.0727360498868,1904.9579306167798,856588.2115246594,52.7119999999999,43.927333333333294,-28.851858834105997
000001.XSHE,2020-01-09,1995.78,1993.4,2008.84,1962.53,868925.0351158823,1725326772.0,1.0,2014.7740000000001,1978.1273333333334,2048.2053443401924,1908.0493223264746,772597.0243294524,50.10199999999986,45.03599999999995,-23.223114512459688
000001.XSHE,2020-01-10,1993.4,1981.53,1993.4,1962.53,493196.1413655105,975154789.0,1.0,2003.1380000000001,1979.2353333333333,2048.942295423359,1909.5283712433074,683207.098654199,45.82799999999993,44.71933333333329,-16.499133886813297
000001.XSHE,2020-01-13,1988.65,2017.15,2021.9,1976.78,734582.1887316261,1468271639.0,3.0,2001.238,1982.4013333333335,2054.516704338751,1910.285962327916,684900.2155508462,44.64200000000001,45.82799999999996,-19.310181276568983
000001.XSHE,2020-01-14,2017.15,1989.84,2048.02,1989.84,1098745.0830217504,2217608765.0,1.0,1991.9779999999998,1986.5173333333335,2052.1021109516887,1920.9325557149782,781910.6743939422,48.44200000000005,45.749333333333304,-14.455784700736103
000001.XSHE,2020-01-15,1993.4,1961.35,2000.53,1953.04,723887.3898080403,1424889183.0,1.0,1988.654,1987.4673333333333,2050.9853885693324,1923.9492780973342,783867.1676085623,45.59400000000005,46.77866666666664,-5.086312335636194
000001.XSHE,2020-01-16,1961.35,1938.79,1966.1,1923.36,865946.7673136338,1678888407.0,1.0,1977.732,1987.7046666666668,2050.4075956786173,1925.001737654716,783271.5140481126,44.88000000000007,47.09466666666664,5.291142891323489
000001.XSHE,2020-01-17,1944.73,1945.91,1964.91,1941.16,509947.1419541501,995908958.0,1.0,1970.6080000000002,1987.0713333333333,2051.344483855976,1922.7981828106906,786621.7141658405,43.930000000000064,47.411333333333324,9.640860819911268
000001.XSHE,2020-01-20,1950.66,1953.04,1970.85,1941.16,628396.5023757834,1226464551.0,3.0,1957.786,1985.6466666666668,2052.0351547680834,1919.25817856525,765384.5768946719,40.84400000000001,45.51199999999997,10.291077077424688
000001.XSHE,2020-01-21,1939.98,1899.61,1939.98,1891.3,755184.0640973672,1442171383.0,1.0,1939.7399999999998,1981.1353333333332,2060.7517375535895,1901.5189291130769,696672.3731097953,41.556,45.51199999999997,21.372825016081606
000001.XSHE,2020-01-22,1890.11,1910.3,1918.61,1865.18,605989.0038213892,1150933314.0,1.0,1929.53,1978.286,2064.958153313569,1891.6138466864313,673092.695912465,42.74399999999996,47.01666666666664,24.71956027129454
000001.XSHE,2020-01-23,1890.11,1845.0,1890.11,1828.37,927004.377235772,1723394247.0,1.0,1910.7720000000002,1967.7593333333332,2077.028811091462,1858.4898555752043,685304.2178968927,50.58199999999997,48.521333333333295,39.24600749219803
000001.XSHE,2020-02-03,1660.97,1660.97,1744.08,1660.97,1902873.985081007,3201454094.0,11.0,1853.784,1942.5099999999998,2128.573913596556,1756.4460864034436,963889.586522264,82.16399999999994,57.30733333333331,84.42410139221715
000001.XSHE,2020-02-04,1668.1,1733.39,1739.33,1668.1,1437079.8723887878,2442932777.0,1.0,1809.854,1922.9593333333335,2131.414491987498,1714.5041746791692,1125626.2605248648,91.89799999999995,59.12799999999999,92.1728186092189
000001.XSHE,2020-02-05,1732.21,1736.96,1767.82,1701.34,1256154.6627441044,2177631991.0,1.0,1777.3239999999998,1903.014,2122.041773816166,1683.986226183834,1225820.3802542123,92.84599999999996,60.948,92.10861954375241
000001.XSHE,2020-02-06,1758.33,1753.58,1764.26,1723.9,998782.9474560613,1740107580.0,1.0,1745.98,1888.0546666666667,2115.626616716605,1660.482716616728,1304379.1689811468,90.23199999999997,59.523333333333326,84.77081094124082
000001.XSHE,2020-02-07,1733.39,1735.77,1744.08,1712.02,778986.2331990988,1345053206.0,1.0,1724.134,1870.8793333333333,2103.2150343556495,1638.5436323110168,1274775.5401738123,82.15799999999994,59.20666666666666,80.6687221338907
000001.XSHE,2020-02-10,1722.71,1721.52,1725.08,1697.78,1128203.1286305126,1931983402.0,3.0,1736.244,1853.5453333333332,2089.273506068285,1617.8171605983816,1119841.3688837131,52.94999999999995,59.68133333333332,77.88339024069091
000001.XSHE,2020-02-11,1733.39,1755.95,1772.57,1729.83,1185513.7407101567,2077194080.0,1.0,1740.7559999999999,1836.132,2058.2627204842756,1614.0012795157245,1069528.142547987,47.487999999999964,60.07666666666664,65.8405553762957
000001.XSHE,2020-02-12,1755.95,1753.58,1759.51,1733.39,901661.6778247932,1573229015.0,1.0,1744.08,1820.3813333333333,2028.8893875617034,1611.873279104963,998629.5455641247,39.41599999999994,57.939333333333295,56.56596189805282
000001.XSHE,2020-02-13,1746.45,1739.33,1765.45,1734.58,853409.0569357169,1491327626.0,1.0,1741.23,1805.5800000000002,2002.3943374568448,1608.7656625431555,969554.767460056,37.51799999999999,56.831333333333305,51.76761728999236
000001.XSHE,2020-02-14,1751.2,1784.45,1796.32,1745.27,1273892.4150298408,2253906394.0,1.0,1750.966,1795.2906666666668,1977.8824119763685,1612.698921356965,1068536.0038262042,40.604,57.78133333333331,37.41159888154061
000001.XSHE,2020-02-17,1785.63,1824.81,1824.81,1773.76,1300222.6067371394,2337993528.0,3.0,1771.6239999999998,1787.2173333333333,1951.0086953010596,1623.425971365607,1102939.8994475298,43.21599999999999,59.44333333333329,19.070104856546095
000001.XSHE,2020-02-18,1820.06,1804.63,1820.06,1782.07,820056.1001424114,1478274136.0,1.0,1781.36,1777.3233333333333,1913.845766375723,1640.8009002909434,1029848.3713339806,41.553999999999995,60.313333333333304,11.780478972943229
000001.XSHE,2020-02-19,1792.76,1809.38,1824.81,1792.76,736243.9973913715,1333730137.0,1.0,1792.52,1771.308,1891.7419167226033,1650.8740832773967,996764.8352472961,42.74000000000001,58.33399999999997,6.047760583635409
000001.XSHE,2020-02-20,1812.94,1850.93,1854.49,1792.76,1040586.3641520748,1897922980.0,1.0,1814.8400000000001,1767.35,1870.930264805352,1663.7697351946479,1034200.296690568,48.91199999999999,58.887333333333316,-6.20456516777881
000001.XSHE,2020-02-21,1839.06,1849.75,1866.37,1834.31,838121.0358156505,1546692868.0,1.0,1827.9,1767.6666666666667,1872.288137739902,1663.0451955934316,947046.0208477298,43.92599999999997,55.56266666666664,-12.847398307446156
000001.XSHE,2020-02-24,1835.5,1808.19,1835.5,1799.88,1003822.7520338016,1820183788.0,3.0,1824.5760000000002,1777.4813333333334,1865.5118951908878,1689.450771475779,887766.0499070622,43.68999999999996,46.618666666666634,-7.528742709441985
000001.XSHE,2020-02-25,1780.88,1785.63,1795.13,1755.95,964050.6667114686,1710369708.0,1.0,1820.7760000000003,1780.964,1865.5862698821325,1696.3417301178674,916564.9632208736,45.58999999999996,44.87733333333331,0.5875040022872327
000001.XSHE,2020-02-26,1753.58,1779.7,1811.75,1748.83,991057.4023711864,1769612142.0,1.0,1814.8400000000001,1783.8133333333333,1864.8895146750624,1702.7371519916042,967527.6442168367,51.76399999999999,44.63999999999998,6.532918584034178
000001.XSHE,2020-02-27,1776.14,1793.94,1798.69,1769.01,821453.9025831411,1464605692.0,1.0,1803.4419999999998,1786.5040000000001,1865.9424123708718,1707.0655876291285,923701.15190305,45.354,43.92799999999999,6.762205482384843
000001.XSHE,2020-02-28,1763.08,1721.52,1784.45,1716.77,1095505.0188205773,1906892360.0,1.0,1777.7959999999998,1785.554,1867.8809765890278,1703.2270234109724,975177.9485040351,54.37600000000002,46.302,21.701697611323425
000001.XSHE,2020-03-02,1727.46,1755.95,1774.95,1717.96,940471.1643270024,1647432232.0,3.0,1767.348,1787.8493333333333,1864.2300977280977,1711.468568938569,962507.6309626754,55.80000000000005,47.568666666666665,22.339247286065756
000001.XSHE,2020-03-03,1776.14,1747.64,1778.51,1736.96,971645.1626193044,1705816182.0,1.0,1759.75,1787.2953333333332,1864.7802505262014,1709.8104161404651,964026.5301442426,53.662000000000035,46.93533333333333,23.51159929274604
000001.XSHE,2020-03-04,1742.89,1744.08,1753.58,1722.71,726543.8431723316,1261123022.0,1.0,1752.6260000000002,1786.662,1865.4719305563099,1707.8520694436902,911123.8183044717,47.251999999999995,47.251999999999995,23.957487992778397
000001.XSHE,2020-03-05,1757.14,1827.19,1855.68,1748.83,2262862.066342307,4089493454.0,1.0,1759.2759999999998,1792.5193333333334,1869.2863152486452,1715.7523514180216,1199405.4510563049,63.63600000000001,52.634,5.904777734765048
000001.XSHE,2020-03-06,1802.26,1784.45,1812.94,1784.45,1034765.9530947912,1858691215.0,1.0,1771.8620000000003,1792.5193333333334,1869.2863152486452,1715.7523514180216,1187257.6379111477,56.75,51.684,4.032164345308729
000001.XSHE,2020-03-09,1746.45,1715.59,1748.83,1712.02,1403052.9788585852,2420392065.0,3.0,1763.7899999999997,1785.2380000000003,1869.2554492760985,1701.220550723902,1279774.0008174642,59.83800000000001,53.10933333333334,17.11763302040481
000001.XSHE,2020-03-10,1707.27,1752.39,1763.08,1707.27,983665.6155307892,1709084526.0,1.0,1764.7400000000002,1781.7553333333335,1866.6540430212383,1696.8566236454287,1282178.0913997611,62.69000000000001,53.98066666666667,16.370921705027285
000001.XSHE,2020-03-11,1753.58,1744.08,1766.64,1736.96,685935.9421586163,1201250648.0,1.0,1764.7400000000002,1777.4019999999998,1862.9244348845127,1691.879565115487,1274056.511197018,62.45200000000004,53.82266666666668,16.984468366680858
000001.XSHE,2020-03-12,1739.33,1742.89,1761.89,1726.27,830904.2222974487,1447436582.0,1.0,1747.8799999999999,1770.1993333333332,1846.928614935875,1693.4700517307915,987664.9423880463,47.25600000000004,52.082000000000015,16.882601070700275
000001.XSHE,2020-03-13,1650.29,1723.9,1728.65,1650.29,985266.1012819768,1669009783.0,1.0,1735.77,1761.8093333333334,1828.0670067290484,1695.5516599376183,977764.9720254835,57.228000000000065,56.11800000000003,20.07598677009878
000001.XSHE,2020-03-16,1715.59,1632.48,1716.77,1632.48,1184412.1367489956,1975824130.0,3.0,1719.148,1750.0953333333334,1839.3492580543143,1660.8414086123526,934036.8036035656,61.02600000000007,58.88800000000004,40.14812897932711
000001.XSHE,2020-03-17,1632.48,1592.11,1655.04,1560.05,992076.8722010416,1582506016.0,1.0,1687.092,1737.194,1855.6144467866327,1618.7735532133672,935719.054937616,68.86200000000008,61.73800000000004,58.5944565605721
000001.XSHE,2020-03-18,1592.11,1509.0,1607.55,1505.44,1166373.7057654078,1816836842.0,1.0,1640.0760000000002,1719.1473333333333,1883.4314223754045,1554.8632442912622,1031806.6076589745,83.34800000000004,64.3506666666667,84.22796195960768
000001.XSHE,2020-03-19,1505.44,1452.01,1507.82,1415.21,1593136.884732198,2313863608.0,1.0,1581.9,1696.3519999999999,1905.0461851746609,1487.6578148253388,1184253.1401459244,94.98200000000001,68.62466666666668,107.54425836072824
000001.XSHE,2020-03-20,1472.2,1486.45,1501.88,1455.58,1329406.7772208955,1967487769.0,1.0,1534.4099999999999,1680.6806666666666,1915.0052165013753,1446.356116831958,1253081.275333708,86.436,66.80466666666669,109.48942049635139
000001.XSHE,2020-03-23,1424.71,1442.52,1466.26,1422.33,902170.26453706,1300469448.0,3.0,1496.4180000000001,1659.7853333333333,1919.8313663864578,1399.7393002802087,1196632.9008913208,80.97600000000003,67.28000000000003,115.21412255478367
000001.XSHE,2020-03-24,1472.2,1497.13,1505.44,1456.76,994059.2887725182,1472909312.0,1.0,1477.422,1643.0846666666666,1911.0070533883927,1375.1622799449406,1197029.3842056163,74.56200000000004,68.70466666666671,102.37586031575324
000001.XSHE,2020-03-25,1529.19,1528.0,1549.37,1507.82,957632.442408377,1467534929.0,1.0,1481.2220000000002,1628.6793333333335,1896.5653097664472,1360.7933569002198,1155281.13153421,64.58800000000001,70.12933333333336,84.18996316316247
000001.XSHE,2020-03-26,1517.31,1550.56,1582.61,1512.56,905607.939067176,1408651018.0,1.0,1500.932,1610.2373333333333,1856.7934250640428,1363.6812416026237,1017775.3424012058,59.84000000000001,67.35933333333335,65.37360802568605
000001.XSHE,2020-03-27,1573.11,1561.24,1583.8,1552.93,550023.4877405139,861618628.0,1.0,1515.8899999999999,1595.3566666666666,1823.0744394427345,1367.6388938905986,861898.6845051292,56.51399999999999,66.72600000000003,49.44850052775428
000001.XSHE,2020-03-30,1525.62,1536.31,1547.0,1516.13,557368.1522609367,852956212.0,3.0,1534.648,1583.4046666666666,1802.742334575776,1364.066998757557,792938.2620499047,52.71199999999995,64.90466666666667,43.29225029863778
000001.XSHE,2020-03-31,1549.37,1519.69,1554.12,1517.31,432401.4502957839,662915439.0,1.0,1539.16,1567.8913333333333,1768.0877420162078,1367.6949246504587,680606.6943545578,47.48999999999992,63.63800000000001,41.35976056921004
000001.XSHE,2020-04-01,1526.81,1530.37,1557.68,1523.25,438689.7312414646,676070090.0,1.0,1539.634,1553.644,1728.97691905074,1378.31108094926,576818.1521211753,44.639999999999965,64.19200000000001,36.28415153665992
000001.XSHE,2020-04-02,1513.75,1539.87,1539.87,1504.25,436607.89871872304,663197597.0,1.0,1537.496,1540.1093333333336,1680.7442002692785,1399.4744663973886,483018.14405148465,37.75399999999995,64.192,29.83237328697828
000001.XSHE,2020-04-03,1522.06,1497.13,1530.37,1492.38,695171.8067235308,1047282375.0,1.0,1524.674,1524.9913333333332,1623.3543423114709,1426.6283243551954,512047.8078480881,40.60399999999991,61.18466666666664,33.72998708770638
000001.XSHE,2020-04-07,1530.37,1529.19,1536.31,1522.06,733043.7316487813,1121200085.0,4.0,1523.25,1518.1053333333334,1596.6929473580008,1439.517719308666,547182.9237256569,39.41799999999989,57.701999999999956,27.91901234281022
000001.XSHE,2020-04-08,1529.19,1517.31,1533.94,1510.19,445327.8011744468,676604852.0,1.0,1522.774,1513.1186666666665,1580.2368672498055,1446.0004660835275,549768.1939013896,36.805999999999905,52.952666666666616,25.840984894003668
000001.XSHE,2020-04-09,1529.19,1512.56,1529.19,1510.19,344115.43872639764,522027869.0,1.0,1519.212,1513.356,1580.4369505852687,1446.2750494147313,530853.3353983762,33.0079999999999,47.411999999999956,24.541677844949618
000001.XSHE,2020-04-10,1514.94,1518.5,1541.06,1503.07,561533.6424102733,853689882.0,1.0,1514.9379999999999,1517.7886666666668,1575.6502990897286,1459.927034243605,555838.4841366863,33.48199999999993,43.691999999999965,21.52367882279532
000001.XSHE,2020-04-13,1504.25,1494.76,1507.82,1481.7,375835.2016377212,562008028.0,3.0,1514.464,1518.3426666666667,1575.0662911058603,1461.619042227473,491971.16311952437,31.34399999999996,42.82066666666662,23.812192775588755
000001.XSHE,2020-04-14,1501.88,1526.81,1526.81,1492.38,577881.7259514935,874856499.0,1.0,1513.988,1523.962,1562.1736617950323,1485.7503382049676,460938.76198006683,30.39399999999996,40.84133333333327,17.4779012157353
000001.XSHE,2020-04-15,1526.81,1528.0,1535.12,1518.5,552868.4155759164,843649247.0,1.0,1516.1259999999997,1526.02,1561.2469280116504,1490.7930719883495,482446.88486036065,28.96799999999994,37.75466666666659,12.806735255165222
000001.XSHE,2020-04-16,1518.5,1505.44,1518.5,1490.01,664690.9501541076,997623766.0,1.0,1514.702,1524.5159999999998,1561.2737527681782,1487.7582472318215,546561.9871459027,32.76599999999994,36.8046666666666,14.248274475867447
000001.XSHE,2020-04-17,1516.13,1530.37,1548.18,1503.07,1121216.1451152335,1713215687.0,1.0,1517.076,1523.1700000000003,1557.2194052810776,1489.120594718923,658498.4876868947,34.18999999999996,35.141999999999946,9.301744251449463
000001.XSHE,2020-04-20,1526.81,1542.25,1548.18,1516.13,689366.6026908736,1058523982.0,3.0,1526.574,1521.904,1550.9283600150065,1492.8796399849934,721204.7678975251,33.23999999999997,35.06266666666661,3.5536956100618227
000001.XSHE,2020-04-21,1579.05,1596.86,1624.17,1579.05,1787688.6671342512,2861879027.0,1.0,1540.5839999999998,1525.9406666666664,1574.0919048744997,1477.789428458833,963166.1561340768,42.738000000000014,37.51666666666662,-11.324486747833589
000001.XSHE,2020-04-22,1587.36,1570.74,1593.3,1562.43,869909.096986134,1368222817.0,1.0,1549.132,1529.344,1582.552660304727,1476.1353396952732,1026574.2924161203,46.3,37.35799999999995,-14.089906175446231
000001.XSHE,2020-04-23,1570.74,1570.74,1579.05,1556.49,544944.7056801252,855052081.0,1.0,1562.192,1532.0353333333335,1589.3888545188395,1474.6818121478275,1002625.0435213238,43.213999999999984,36.329333333333274,-15.115988084243327
000001.XSHE,2020-04-24,1563.62,1571.93,1576.68,1557.68,476732.8188914265,747473748.0,1.0,1570.5040000000001,1534.1726666666664,1595.058207744794,1473.2871255885389,873728.3782765623,37.99199999999996,35.221333333333284,-15.332619694198229
000001.XSHE,2020-04-27,1579.05,1602.8,1618.23,1576.68,789067.756426254,1263809708.0,3.0,1582.614,1541.2173333333335,1607.9102622652633,1474.5244044014037,893668.6090236384,40.84199999999996,35.14199999999996,-21.25137897941363
000001.XSHE,2020-04-28,1596.86,1605.17,1609.92,1576.68,649872.5244055146,1038718039.0,1.0,1584.276,1546.2826666666665,1620.2097281980332,1472.3556051352998,666105.3804778911,31.10599999999995,34.745999999999974,-24.312264438313832
000001.XSHE,2020-04-29,1600.42,1664.53,1671.66,1596.86,933855.831976594,1541638170.0,1.0,1603.034,1556.0973333333334,1649.9457486381973,1462.2489180284695,678894.7274759831,39.18000000000002,38.14933333333332,-37.45143660440908
000001.XSHE,2020-04-30,1664.53,1653.85,1698.96,1647.91,690279.7835353871,1155968186.0,1.0,1619.656,1565.5166666666667,1668.5500378672093,1462.483295466124,707961.7430470355,44.87800000000002,40.28599999999998,-41.3304771761143
000001.XSHE,2020-05-06,1633.66,1634.85,1647.91,1615.86,849857.0933113128,1382727443.0,6.0,1632.2400000000002,1573.2733333333333,1678.6293563265588,1467.9173103401079,782586.5979310127,48.67600000000002,40.28599999999998,-37.9128142939378
